date,hour,ridership
2020-08-03,11,52084
2020-08-03,12,56823
2020-08-03,13,66388
2020-08-03,14,78060
2020-08-03,15,100947
2020-08-03,16,114275
2020-08-03,17,111005
2020-08-03,18,79301
2020-08-03,19,53708
2020-08-03,20,39407
2020-08-03,21,28922
2020-08-03,22,22155
2020-08-03,23,17059
2020-08-04,0,5672
2020-08-04,1,26
2020-08-04,2,9
2020-08-04,3,3
2020-08-04,4,6237
2020-08-04,5,43800
2020-08-04,6,76001
2020-08-04,7,93272
2020-08-04,8,85550
2020-08-04,9,58375
2020-08-04,10,47911
2020-08-04,11,43475
2020-08-04,12,45216
2020-08-04,13,49522
2020-08-04,14,57422
2020-08-04,15,74911
2020-08-04,16,79813
2020-08-04,17,77775
2020-08-04,18,57584
2020-08-04,19,40149
2020-08-04,20,29726
2020-08-04,21,22436
2020-08-04,22,20225
2020-08-04,23,15876
2020-08-05,0,5544
2020-08-05,1,16
2020-08-05,2,53
2020-08-05,3,24
2020-08-05,4,6389
2020-08-05,5,47888
2020-08-05,6,82185
2020-08-05,7,100650
2020-08-05,8,97334
2020-08-05,9,69813
2020-08-05,10,58262
2020-08-05,11,56048
2020-08-05,12,61097
2020-08-05,13,70223
2020-08-05,14,83737
2020-08-05,15,106643
2020-08-05,16,118912
2020-08-05,17,115719
2020-08-05,18,84405
2020-08-05,19,58117
2020-08-05,20,43033
2020-08-05,21,31448
2020-08-05,22,27289
2020-08-05,23,21645
2020-08-06,0,7277
2020-08-06,1,20
2020-08-06,2,39
2020-08-06,3,8
2020-08-06,4,6538
2020-08-06,5,48599
2020-08-06,6,83812
2020-08-06,7,100653
2020-08-06,8,96786
2020-08-06,9,69154
2020-08-06,10,56478
2020-08-06,11,52139
2020-08-06,12,57692
2020-08-06,13,68762
2020-08-06,14,81743
2020-08-06,15,105982
2020-08-06,16,118642
2020-08-06,17,114040
2020-08-06,18,83943
2020-08-06,19,58206
2020-08-06,20,42818
2020-08-06,21,30789
2020-08-06,22,27312
2020-08-06,23,22190
2020-08-07,0,7507
2020-08-07,1,14
2020-08-07,2,46
2020-08-07,3,3
2020-08-07,4,6458
2020-08-07,5,45164
2020-08-07,6,78339
2020-08-07,7,93522
2020-08-07,8,87854
2020-08-07,9,63574
2020-08-07,10,53390
2020-08-07,11,52081
2020-08-07,12,58464
2020-08-07,13,70914
2020-08-07,14,85949
2020-08-07,15,106160
2020-08-07,16,111967
2020-08-07,17,104485
2020-08-07,18,80240
2020-08-07,19,62537
2020-08-07,20,39131
2020-08-07,21,27384
2020-08-07,22,24884
2020-08-07,23,21250
2020-08-08,0,7843
2020-08-08,1,20
2020-08-08,2,27
2020-08-08,3,36
2020-08-08,4,2629
2020-08-08,5,16128
2020-08-08,6,28936
2020-08-08,7,37984
2020-08-08,8,39719
2020-08-08,9,39677
2020-08-08,10,41628
2020-08-08,11,43746
2020-08-08,12,49012
2020-08-08,13,56463
2020-08-08,14,62223
2020-08-08,15,64315
2020-08-08,16,61915
2020-08-08,17,57405
2020-08-08,18,52342
2020-08-08,19,45801
2020-08-08,20,38657
2020-08-08,21,29272
2020-08-08,22,25718
2020-08-08,23,22144
2020-08-09,0,9421
2020-08-09,1,7
2020-08-09,2,18
2020-08-09,4,1736
2020-08-09,5,10422
2020-08-09,6,19200
2020-08-09,7,25056
2020-08-09,8,27346
2020-08-09,9,30472
2020-08-09,10,34460
2020-08-09,11,36757
2020-08-09,12,41089
2020-08-09,13,46218
2020-08-09,14,50047
2020-08-09,15,51004
2020-08-09,16,49348
2020-08-09,17,45707
2020-08-09,18,43699
2020-08-09,19,37187
2020-08-09,20,31741
2020-08-09,21,26260
2020-08-09,22,22314
2020-08-09,23,16229
2020-08-10,0,5932
2020-08-10,1,30
2020-08-10,2,31
2020-08-10,3,44
2020-08-10,4,6505
2020-08-10,5,46809
2020-08-10,6,80974
2020-08-10,7,98673
2020-08-10,8,94217
2020-08-10,9,66814
2020-08-10,10,55048
2020-08-10,11,52794
2020-08-10,12,56960
2020-08-10,13,65968
2020-08-10,14,77397
2020-08-10,15,100693
2020-08-10,16,113294
2020-08-10,17,110353
2020-08-10,18,78486
2020-08-10,19,53500
2020-08-10,20,39281
2020-08-10,21,27907
2020-08-10,22,24192
2020-08-10,23,18700
2020-08-11,0,6189
2020-08-11,1,20
2020-08-11,2,26
2020-08-11,3,2
2020-08-11,4,6635
2020-08-11,5,48515
2020-08-11,6,85138
2020-08-11,7,102507
2020-08-11,8,96693
2020-08-11,9,68359
2020-08-11,10,56110
2020-08-11,11,53333
2020-08-11,12,57873
2020-08-11,13,67684
2020-08-11,14,79794
2020-08-11,15,104801
2020-08-11,16,118425
2020-08-11,17,113365
2020-08-11,18,81505
2020-08-11,19,55865
2020-08-11,20,41361
2020-08-11,21,29750
2020-08-11,22,25735
2020-08-11,23,19752
2020-08-12,0,6497
2020-08-12,1,34
2020-08-12,2,13
2020-08-12,3,2
2020-08-12,4,6698
2020-08-12,5,48660
2020-08-12,6,84226
2020-08-12,7,103479
2020-08-12,8,98473
2020-08-12,9,69316
2020-08-12,10,56301
2020-08-12,11,52753
2020-08-12,12,57337
2020-08-12,13,66204
2020-08-12,14,80141
2020-08-12,15,104389
2020-08-12,16,113547
2020-08-12,17,108676
2020-08-12,18,76942
2020-08-12,19,52672
2020-08-12,20,38562
2020-08-12,21,28259
2020-08-12,22,25475
2020-08-12,23,20328
2020-08-13,0,6395
2020-08-13,1,30
2020-08-13,2,11
2020-08-13,3,5
2020-08-13,4,6675
2020-08-13,5,48634
2020-08-13,6,83696
2020-08-13,7,102236
2020-08-13,8,97088
2020-08-13,9,69740
2020-08-13,10,57293
2020-08-13,11,51752
2020-08-13,12,53311
2020-08-13,13,63742
2020-08-13,14,77173
2020-08-13,15,99964
2020-08-13,16,111930
2020-08-13,17,110661
2020-08-13,18,80619
2020-08-13,19,53962
2020-08-13,20,39834
2020-08-13,21,28837
2020-08-13,22,26312
2020-08-13,23,20911
2020-08-14,0,6882
2020-08-14,1,11
2020-08-14,2,45
2020-08-14,3,3
2020-08-14,4,6465
2020-08-14,5,46647
2020-08-14,6,79398
2020-08-14,7,96155
2020-08-14,8,90629
2020-08-14,9,66354
2020-08-14,10,57242
2020-08-14,11,56186
2020-08-14,12,63060
2020-08-14,13,75270
2020-08-14,14,89422
2020-08-14,15,109826
2020-08-14,16,117803
2020-08-14,17,110410
2020-08-14,18,83423
2020-08-14,19,62757
2020-08-14,20,47425
2020-08-14,21,33087
2020-08-14,22,28499
2020-08-14,23,25273
2020-08-15,0,9785
2020-08-15,1,112
2020-08-15,2,60
2020-08-15,3,65
2020-08-15,4,2579
2020-08-15,5,16275
2020-08-15,6,29736
2020-08-15,7,38566
2020-08-15,8,41034
2020-08-15,9,39294
2020-08-15,10,42593
2020-08-15,11,46387
2020-08-15,12,52555
2020-08-15,13,60280
