date,ridership
2024-01-01,1659544
2024-01-02,3316379
2024-01-03,3583664
2024-01-04,3591081
2024-01-05,3289890
2024-01-06,1951227
2024-01-07,1481422
2024-01-08,3331387
2024-01-09,3383052
2024-01-10,3588994
2024-01-11,3719634
2024-01-12,3393821
2024-01-13,2173350
2024-01-14,1748994
2024-01-15,2190781
2024-01-16,3267978
2024-01-17,3646881
2024-01-18,3693891
2024-01-19,3207360
2024-01-20,2030168
2024-01-21,1582409
2024-01-22,3332116
2024-01-23,3682279
2024-01-24,3696973
2024-01-25,3720686
2024-01-26,3420572
2024-01-27,2299913
2024-01-28,1566475
2024-01-29,3334876
2024-01-30,3758674
2024-01-31,3850436
2024-02-01,3857394
2024-02-02,3496731
2024-02-03,2339725
2024-02-04,1757743
2024-02-05,3519542
2024-02-06,3897442
2024-02-07,3941179
2024-02-08,3944140
2024-02-09,3585829
2024-02-10,2402626
2024-02-11,1793232
2024-02-12,3412622
2024-02-13,2316275
2024-02-14,4003306
2024-02-15,3917186
2024-02-16,3542139
2024-02-17,2195864
2024-02-18,1865158
2024-02-19,2268878
2024-02-20,3532985
2024-02-21,3633929
2024-02-22,3630416
2024-02-23,3259316
2024-02-24,2327071
2024-02-25,1758042
2024-02-26,3478943
2024-02-27,3846625
2024-02-28,3828203
2024-02-29,3949068
2024-03-01,3614601
2024-03-02,2113591
2024-03-03,1979705
2024-03-04,3581567
2024-03-05,3864744
2024-03-06,3912040
2024-03-07,3940154
2024-03-08,3728821
2024-03-09,2230731
2024-03-10,1823270
2024-03-11,3540111
2024-03-12,4035231
2024-03-13,4072733
2024-03-14,4095271
2024-03-15,3687424
2024-03-16,2575919
2024-03-17,1992273
2024-03-18,3526878
2024-03-19,3915654
2024-03-20,3933863
2024-03-21,3909662
2024-03-22,3624078
2024-03-23,1883833
2024-03-24,1931070
2024-03-25,3624515
2024-03-26,4014552
2024-03-27,4059595
2024-03-28,3955268
2024-03-29,3414738
2024-03-30,2543299
2024-03-31,1952730
2024-04-01,3364103
2024-04-02,3953528
2024-04-03,3934068
2024-04-04,4153054
2024-04-05,3841181
2024-04-06,2494431
2024-04-07,1916763
2024-04-08,3419017
2024-04-09,3929457
2024-04-10,3712133
2024-04-11,3923179
2024-04-12,3599484
2024-04-13,2520672
2024-04-14,2084498
2024-04-15,3745425
2024-04-16,4078141
2024-04-17,4064732
2024-04-18,4008299
2024-04-19,3741690
2024-04-20,2550561
2024-04-21,1932355
2024-04-22,3253658
2024-04-23,3559915
2024-04-24,3648464
2024-04-25,3764081
2024-04-26,3467363
2024-04-27,2519797
2024-04-28,2097936
2024-04-29,3362819
2024-04-30,3679831
2024-05-01,4074399
2024-05-02,4103142
2024-05-03,3819039
2024-05-04,2577549
2024-05-05,1904644
2024-05-06,3691620
2024-05-07,4141310
2024-05-08,4131173
2024-05-09,4129808
2024-05-10,3716163
2024-05-11,2662619
2024-05-12,1873801
2024-05-13,3741960
2024-05-14,4158472
2024-05-15,4156397
2024-05-16,4147230
2024-05-17,3856132
2024-05-18,2705156
2024-05-19,2137154
2024-05-20,3722395
2024-05-21,4072274
2024-05-22,4146930
2024-05-23,3905737
2024-05-24,3622046
2024-05-25,2362278
2024-05-26,2033339
2024-05-27,1692173
2024-05-28,3866871
2024-05-29,4048378
2024-05-30,4021835
2024-05-31,3727428
2024-06-01,2462773
2024-06-02,1995053
2024-06-03,3652194
2024-06-04,4023176
2024-06-05,4094840
2024-06-06,3815747
2024-06-07,3791075
2024-06-08,2687830
2024-06-09,2108737
2024-06-10,3149557
2024-06-11,3994118
2024-06-12,3931300
2024-06-13,3977192
2024-06-14,3555058
2024-06-15,2446756
2024-06-16,1911278
2024-06-17,3363247
2024-06-18,3960731
2024-06-19,3078451
2024-06-20,3898859
2024-06-21,3536802
2024-06-22,2400209
2024-06-23,1924464
2024-06-24,3507344
2024-06-25,3873045
2024-06-26,3943243
2024-06-27,3818183
2024-06-28,3560550
2024-06-29,2469925
2024-06-30,2018216
2024-07-01,3314108
2024-07-02,3586293
2024-07-03,3453451
2024-07-04,2018225
2024-07-05,2735554
2024-07-06,2116673
2024-07-07,1820721
2024-07-08,3267889
2024-07-09,3646292
2024-07-10,3733496
2024-07-11,3728652
2024-07-12,3298862
2024-07-13,2219784
2024-07-14,1885524
2024-07-15,3300843
2024-07-16,3638770
2024-07-17,3695910
2024-07-18,3690038
2024-07-19,3364280
2024-07-20,2321784
2024-07-21,1900116
2024-07-22,3277832
2024-07-23,3654145
2024-07-24,3706467
2024-07-25,3691087
2024-07-26,3350570
2024-07-27,2342871
2024-07-28,1867703
2024-07-29,3241001
2024-07-30,3644818
2024-07-31,3633634
2024-08-01,3589104
2024-08-02,3206418
2024-08-03,2223761
2024-08-04,1776509
2024-08-05,3289679
2024-08-06,3517931
2024-08-07,3563724
2024-08-08,3535080
2024-08-09,3095540
2024-08-10,2380441
2024-08-11,1935034
2024-08-12,3209349
2024-08-13,3534194
2024-08-14,3591596
2024-08-15,3538841
2024-08-16,3236525
2024-08-17,2271803
2024-08-18,1729421
2024-08-19,3117379
2024-08-20,3521140
2024-08-21,3547319
2024-08-22,3482214
2024-08-23,3269605
2024-08-24,2376015
2024-08-25,1923663
2024-08-26,3157343
